
2017-08-10 23:44:09,138 proc_top starting

2017-08-10 23:44:19,139
   pid name                  utime  stime  pct
   936 (python)                 39      9   5%
   921 (pixrc_udp)               0     42   4%
   931 (vidsrc:src)             20     15   4%
   919 (python)                 31      0   3%
   908 (dataflash_logge)         9     19   3%
    24 (ipu1_task)               0     10   1%
   924 (telem_up)                1      9   1%
   937 (python)                  6      0   1%
   926 (pixrc_ser)               0      5   1%

2017-08-10 23:50:39,139
   pid name                  utime  stime  pct
   923 (telem_down)             33    241  27%
   935 (python)                174     16  19%
   938 (python)                 84     31  12%
    13 (kworker/0:1)             0    102  10%
   936 (python)                 42     10   5%
   931 (vidsrc:src)             24     16   4%
   908 (dataflash_logge)        17     22   4%
   921 (pixrc_udp)               0     38   4%
   919 (python)                 30      5   4%
    64 (kworker/0:2)             0     26   3%
    24 (ipu1_task)               0     10   1%
   924 (telem_up)                1      5   1%
   937 (python)                  3      3   1%
   926 (pixrc_ser)               1      4   1%

2017-08-10 23:50:49,139
   pid name                  utime  stime  pct
   923 (telem_down)             29    228  26%
   935 (python)                184     13  20%
    64 (kworker/0:2)             0    120  12%
   938 (python)                 89     31  12%
   936 (python)                 40     11   5%
   921 (pixrc_udp)               0     45   5%
   931 (vidsrc:src)             28     12   4%
   908 (dataflash_logge)        10     27   4%
   919 (python)                 32      2   3%
    24 (ipu1_task)               0     11   1%
   937 (python)                  6      1   1%
   926 (pixrc_ser)               0      6   1%
   924 (telem_up)                1      5   1%

2017-08-10 23:50:59,139
   pid name                  utime  stime  pct
   923 (telem_down)             29    242  27%
   935 (python)                179     17  20%
    64 (kworker/0:2)             0    127  13%
   938 (python)                 83     34  12%
   936 (python)                 37     15   5%
   908 (dataflash_logge)        10     29   4%
   931 (vidsrc:src)             23     16   4%
   919 (python)                 33      1   3%
   921 (pixrc_udp)               0     27   3%
    24 (ipu1_task)               0     10   1%
   937 (python)                  6      1   1%
   924 (telem_up)                0      6   1%
   926 (pixrc_ser)               0      5   1%

2017-08-10 23:51:09,139
   pid name                  utime  stime  pct
   923 (telem_down)             33    249  28%
   935 (python)                184     12  20%
    64 (kworker/0:2)             0    131  13%
   938 (python)                 82     35  12%
   936 (python)                 42     10   5%
   931 (vidsrc:src)             27     15   4%
   908 (dataflash_logge)        12     29   4%
   921 (pixrc_udp)               1     37   4%
   919 (python)                 28      6   3%
    24 (ipu1_task)               0     11   1%
   937 (python)                  5      1   1%
   926 (pixrc_ser)               2      3   1%
   924 (telem_up)                1      4   1%

2017-08-10 23:51:19,139
   pid name                  utime  stime  pct
   923 (telem_down)             52    221  27%
   935 (python)                175     15  19%
    64 (kworker/0:2)             0    126  13%
   938 (python)                 84     33  12%
   936 (python)                 48      4   5%
   931 (vidsrc:src)             22     19   4%
   908 (dataflash_logge)         9     31   4%
   921 (pixrc_udp)               0     40   4%
   919 (python)                 35      0   4%
    24 (ipu1_task)               0     10   1%
   937 (python)                  8      0   1%
   926 (pixrc_ser)               0      6   1%
   924 (telem_up)                1      5   1%

2017-08-10 23:51:29,139
   pid name                  utime  stime  pct
   923 (telem_down)             31    217  25%
   935 (python)                171     11  18%
    64 (kworker/0:2)             0    116  12%
   938 (python)                 85     25  11%
   936 (python)                 42      9   5%
   931 (vidsrc:src)             26     13   4%
   908 (dataflash_logge)        13     23   4%
   921 (pixrc_udp)              10     25   4%
   919 (python)                 30      3   3%
    24 (ipu1_task)               0     10   1%
   924 (telem_up)                0      6   1%
   926 (pixrc_ser)               0      5   1%
   937 (python)                  4      1   1%

2017-08-10 23:51:39,139
   pid name                  utime  stime  pct
   923 (telem_down)             44    234  28%
   935 (python)                193     12  21%
    64 (kworker/0:2)             0    130  13%
   938 (python)                 89     36  13%
   936 (python)                 39     14   5%
   908 (dataflash_logge)        12     29   4%
   931 (vidsrc:src)             26     15   4%
   921 (pixrc_udp)               6     33   4%
   919 (python)                 35      0   4%
    24 (ipu1_task)               0     11   1%
   937 (python)                  6      1   1%
   926 (pixrc_ser)               0      5   1%
   924 (telem_up)                0      5   1%

2017-08-10 23:51:49,139
   pid name                  utime  stime  pct
   923 (telem_down)             33    237  27%
   935 (python)                170     14  18%
    64 (kworker/0:2)             0    126  13%
   938 (python)                 84     30  11%
   936 (python)                 45      6   5%
   931 (vidsrc:src)             25     16   4%
   908 (dataflash_logge)        10     29   4%
   921 (pixrc_udp)               6     31   4%
   919 (python)                 27      6   3%
    24 (ipu1_task)               0     10   1%
   937 (python)                  6      1   1%
   926 (pixrc_ser)               0      6   1%
   924 (telem_up)                0      6   1%

2017-08-10 23:51:59,139
   pid name                  utime  stime  pct
   923 (telem_down)             29    239  27%
   935 (python)                172     14  19%
    64 (kworker/0:2)             0    125  13%
   938 (python)                 78     34  11%
   936 (python)                 42      9   5%
   921 (pixrc_udp)               0     43   4%
   931 (vidsrc:src)             24     16   4%
   908 (dataflash_logge)        12     27   4%
   919 (python)                 28      6   3%
